Headline,Category,Timestamp
"Four killed by tornadoes in Florida, as DeSantis warns of more Hurricane Milton flooding",US & Canada,10/10/2024 15:23:42
Where is Hurricane Milton now?,US & Canada,10/10/2024 15:23:42
"Israeli strike on Gaza school sheltering displaced kills 28, paramedics say",Middle East,10/10/2024 11:54:42
Portugal tries to tempt under-35s with tax cuts,Europe,10/10/2024 15:04:42
Tennis legend Nadal to retire in November,Tennis,10/10/2024 15:54:42
Where is Hurricane Milton now?,US & Canada,10/10/2024 15:23:42
"'My anxiety's through the roof,' says woman who stayed at home for Milton",US & Canada,10/10/2024 12:54:42
"Israeli strike on Gaza school sheltering displaced kills 28, paramedics say",Middle East,10/10/2024 11:54:42
Russian strike kills eight in fresh attack on Ukrainian port,Europe,10/10/2024 11:54:42
Human rights advocate Ethel Kennedy dies at 96,US & Canada,10/10/2024 15:45:42
New Zealand minister criticises trolling of sunk ship's female captain,World,10/10/2024 11:54:42
Taiwan's president vows to resist 'annexation',Asia,10/10/2024 08:54:42
YouTuber Yung Filly charged with raping woman in Australia,Culture,10/10/2024 08:54:42
Watch: Destruction as Milton barrels through Florida,US & Canada,10/10/2024 08:54:42
Florida webcams show Hurricane Milton making landfall,US & Canada,10/10/2024 02:54:42
Watch: Moment extreme turbulence hits Hurricane Milton hunters,US & Canada,10/10/2024 13:54:42
Las Vegas casino imploded to make way for stadium,US & Canada,09/10/2024 17:54:42
"Starbucks, Tetley, Jaguar Land Rover: Remembering Ratan Tata's global ambitions",Asia,10/10/2024 08:54:42
Why did Hurricane Milton cause tornadoes in Florida?,US & Canada,10/10/2024 12:54:42
Kylie Minogue on 'nasty' critics and how she kept every supportive cancer letter,Culture,10/10/2024 00:54:42
The two forces at work on Biden-Netanyahu phone call,World,09/10/2024 22:54:42
Why Pennsylvania could hold the keys to the White House,US & Canada,10/10/2024 02:54:42
